States;2010;2011;2012;2013;2014;2015;2016;2017;2018
Alabama;109257;104936;116008;107697;108266;115608;165,375;167,848;172,677
Alaska;19516;19719;19850;23128;20543;25566;33,513;28,098;31,724
Arizona;153118;161978;161310;163350;166060;174442;251,894;275,199;285,226
Arkansas;62632;60937;59378;63767;68255;65084;94,961;102,015;102,024
California;1183758;1189561;1252312;1276357;1347397;1406433;2,093,253;2,181,935;2,210,574
Colorado;198932;204648;206620;215113;216315;236299;338,723;366,95;380,467
Connecticut;106944;107647;108318;112967;113337;125143;189,635;188,577;194,607
Delaware;22984;24730;25557;26651;25963;26841;41,773;40,404;41,697
Florida;418893;440557;457099;484234;498475;549159;770,405;811,471;859,717
Georgia;255300;277393;267388;272885;290666;298116;442,513;453,269;478,261
Hawaii;39334;40483;43887;48110;47202;50267;63,191;63,331;63,55
Idaho;36703;38997;37977;41981;38610;40854;58,072;56,845;63,43
Illinois;454634;465383;468387;469182;486949;490845;735,457;727,26;748,523
Indiana;168763;170759;173391;167682;177089;178574;262,302;278,844;272,097
Iowa;92307;98376;95823;95413;104860;98576;136,461;137,608;134,909
Kansas;91477;92357;90966;95198;93390;98370;134,341;137,173;141,959
Kentucky;98699;92956;95955;101574;104452;104436;154,395;160,364;165,712
Louisiana;115925;113221;117889;125056;130943;130464;176,919;171,313;175,78
Maine;31992;33333;31660;34461;39747;37661;53,6;55,355;58,051
Maryland;184186;195567;202108;201908;212549;212101;345,164;348,426;356,798
Massachusetts;257428;263747;275899;277747;293302;297511;488,184;505,522;529,42
Michigan;233923;238645;243463;253480;256641;274364;396,866;424,146;434,664
Minnesota;202719;210266;214706;211083;214468;223789;298,857;319,899;327,902
Mississippi;53612;54686;57954;53590;63106;62442;86,903;79,407;91,866
Missouri;167570;169218;174104;177523;179656;178293;269,437;273,994;283,506
Montana;30816;31704;32260;28318;30303;31792;40,657;42,434;43,388
Nebraska;61386;58386;62330;63975;71903;62368;95,456;96,669;99,272
Nevada;60389;60361;66520;64731;68275;67353;96,304;104,534;103,95
New Hampshire;37989;39453;41831;37671;40090;45174;66,824;68,344;65,105
New Jersey;318860;310839;323807;325166;334344;344430;514,631;539,527;543,499
New Mexico;35456;42066;40813;41494;40993;37565;65,564;67,744;64,864
New York;711288;717970;748651;782518;800461;834676;1,284,441;1,311,673;1,332,263
North Carolina;265598;270702;275505;280926;289694;295317;434,047;468,044;476,238
North Dakota;24292;24705;26175;23439;27759;31729;42,227;44,475;41,506
Ohio;293867;290294;304881;314912;328871;330763;489,95;501,392;517,998
Oklahoma;90318;98884;99096;101196;101763;103451;143,589;143,712;141,885
Oregon;114366;115543;117859;117274;125745;132830;200,006;212,508;209,018
Pennsylvania;359281;369345;388519;403879;414843;424846;652,368;661,456;676,063
Rhode Island;29963;32781;29816;36025;32238;35371;58,008;52,982;56,847
South Carolina;114723;112654;114977;120670;120141;130138;187,507;187,421;202,609
South Dakota;24393;25096;23995;25727;26141;27160;38,207;35,44;40,289
Tennessee;149982;159828;170070;175171;176895;184026;275,38;292,448;286,898
Texas;697641;720274;730605;784969;812101;852300;1,228,026;1,276,751;1,312,561
Utah;102179;101163;101077;105148;100289;107626;150,48;155,537;158,17
Vermont;17637;19885;18482;19810;19047;20646;28,322;29,451;34,574
Virginia;269774;291171;293347;290715;299806;305837;473,137;487,047;486,362
Washington;204546;213551;221130;239864;242744;262496;400,634;419,137;453,954
West Virginia;34499;34805;35724;33318;36412;38051;55,524;51,804;56,349
Wisconsin;157637;170546;170917;177856;184831;185663;260,404;264,889;258,714
Wyoming;13910;15533;16277;18770;16923;16392;22,037;21,642;21,194
