GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",11521938.0,12038283.0,12610491.0,13130987.0,13262079.0,13493064.0,13879129.0,14406382.0,14912509.0,15338257.0,15626029.0,15604687.0,15208834.0,15598753.0,15840664.0,16197007.0,16495369.0,16912038.0,17432170.0,17730509.0,18144105.0,18687786.0,19091662.0
 "00000","United States", ,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",71.136,74.324,77.857,81.070,81.880,83.306,85.689,88.945,92.070,94.698,96.475,96.343,93.899,96.306,97.800,100.000,101.842,104.415,107.626,109.468,112.021,115.378,117.872
 "00000","United States", ,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",8577552.0,9062817.0,9630663.0,10252347.0,10581822.0,10936418.0,11458246.0,12213730.0,13036637.0,13814609.0,14451860.0,14712845.0,14448932.0,14992052.0,15542582.0,16197007.0,16784851.0,17527258.0,18238301.0,18745075.0,19542980.0,20611861.0,21433226.0
 "00000","United States", ,SAGDP1,4,"...","Compensation (millions of dollars)","Millions of current dollars",4713220.0,5075701.0,5409932.0,5854629.0,6046343.0,6143368.0,6362296.0,6729301.0,7077721.0,7491255.0,7889369.0,8068679.0,7767191.0,7932969.0,8234013.0,8575371.0,8843638.0,9259655.0,9709535.0,9974844.0,10433094.0,10960567.0,11444495.0
 "00000","United States", ,SAGDP1,5,"...","Gross operating surplus (millions of dollars)","Millions of current dollars",3286531.0,3384012.0,3592352.0,3734996.0,3866496.0,4074414.0,4339386.0,4662712.0,5077391.0,5377778.0,5580241.0,5646978.0,5713270.0,6051817.0,6264848.0,6543558.0,6812271.0,7084859.0,7310806.0,7520208.0,7805796.0,8269831.0,8571191.0
 "00000","United States", ,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Millions of current dollars",577806.0,603105.0,628376.0,662716.0,668980.0,718634.0,756559.0,821712.0,881527.0,945573.0,982245.0,997183.0,968471.0,1007266.0,1043716.0,1078078.0,1128943.0,1182744.0,1217959.0,1250022.0,1304090.0,1381463.0,1417539.0
 "00000","United States", ,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars)","Millions of current dollars",611614.0,639472.0,673584.0,708555.0,727690.0,760031.0,805617.0,868097.0,942437.0,997040.0,1036831.0,1049741.0,1026819.0,1063074.0,1103724.0,1136115.0,1188661.0,1240829.0,1275152.0,1311770.0,1363966.0,1444781.0,1491428.0
 "00000","United States", ,SAGDP1,8,"..."," Subsidies (millions of dollars)","Millions of current dollars",-33810.0,-36368.0,-45209.0,-45840.0,-58710.0,-41396.0,-49057.0,-46386.0,-60911.0,-51467.0,-54584.0,-52557.0,-58347.0,-55808.0,-60008.0,-58037.0,-59720.0,-58090.0,-57193.0,-61748.0,-59876.0,-63318.0,-73889.0
 "01000","Alabama",5,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144457.3,149613.2,155171.9,157697.7,157137.9,161258.0,165250.5,175916.8,181871.0,185337.0,186499.4,185280.6,178893.4,183014.5,185666.9,186553.9,188814.2,187568.0,189428.8,191523.4,193693.0,198053.7,200829.4
 "01000","Alabama",5,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.435,80.198,83.178,84.532,84.232,86.440,88.581,94.298,97.490,99.348,99.971,99.317,95.894,98.103,99.525,100.000,101.212,100.544,101.541,102.664,103.827,106.164,107.652
 "01000","Alabama",5,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",104716.9,110181.3,115833.1,120132.9,123035.3,128117.4,133969.3,146886.7,156403.3,164347.8,170263.9,172677.2,169128.5,175470.1,181929.9,186553.9,192166.5,195037.7,200197.5,204454.7,210895.7,221030.7,228142.6
 "01000","Alabama",5,SAGDP1,4,"...","Compensation (millions of dollars)","Millions of current dollars",61083.8,64168.6,67225.1,69764.4,72038.4,74152.3,77085.0,81588.9,86356.8,91148.0,95286.4,97634.2,95327.1,96804.0,98890.3,100372.5,102206.9,106036.8,110031.4,112852.6,116633.7,121513.6,126892.8
 "01000","Alabama",5,SAGDP1,5,"...","Gross operating surplus (millions of dollars)","Millions of current dollars",37152.8,39338.0,41653.4,42850.9,43455.0,46410.3,48901.9,56693.5,60639.7,63103.9,64608.3,64343.3,63635.6,68060.7,71896.6,74881.8,78373.4,77261.7,78474.9,79127.8,81325.0,85665.9,88069.6
 "01000","Alabama",5,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Millions of current dollars",6480.3,6674.7,6954.6,7517.5,7541.9,7554.8,7982.4,8604.3,9406.8,10096.0,10369.1,10699.8,10165.8,10605.5,11142.9,11299.6,11586.2,11739.2,11691.2,12474.3,12937.1,13851.2,13180.2
 "01000","Alabama",5,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars)","Millions of current dollars",6754.8,6968.3,7329.6,7868.6,8004.4,8050.4,8434.7,8995.7,9913.7,10571.5,10851.0,11143.1,10684.9,11066.7,11652.5,11784.3,12043.3,12206.1,12131.8,12992.2,13480.9,14310.2,13774.0
 "01000","Alabama",5,SAGDP1,8,"..."," Subsidies (millions of dollars)","Millions of current dollars",-274.5,-293.6,-375.0,-351.0,-462.4,-495.6,-452.3,-391.5,-506.9,-475.4,-481.8,-443.3,-519.1,-461.2,-509.6,-484.7,-457.1,-466.9,-440.7,-517.9,-543.8,-459.0,-593.7
 "02000","Alaska",8,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",42339.2,41238.4,40788.2,39566.8,41019.8,42915.8,42132.7,43752.3,45064.7,48538.5,51144.0,50891.0,55910.6,54219.0,54722.6,57717.5,54748.1,53480.6,54015.3,53289.0,52825.9,52928.7,53255.2
