state_code,Trump_vote,Cliton_vote,rate,Trump,Cliton
AL,1318255,729547,0.2874,0.6437,
AK,163387,116454,0.1678,0.5839,
AZ,1252401,1161167,0.0378,0.5189,
AR,684872,380494,0.2858,0.6429,
CA,4483810,9753788,-0.3702,,0.6851
CO,1202484,1338870,-0.0536,,0.5268
CT,673215,897572,-0.1428,,0.5714
DC,12723,282830,-0.914,,0.957
DE,185127,235603,-0.12,,0.56
FL,4617886,4504975,0.0124,0.5062,
GA,2089104,1877963,0.0532,0.5266,
HI,128847,266891,-0.3488,,0.6744
ID,409055,189765,0.3662,0.6831,
IL,2146015,3090729,-0.1804,,0.5902
IN,1557286,1033126,0.2024,0.6012,
IA,800983,653669,0.1012,0.5506,
KS,671018,427005,0.2222,0.6111,
KY,1202971,628854,0.3134,0.6567,
LA,1178638,780154,0.2034,0.6017,
ME,335593,357735,-0.032,,0.516
MD,943169,1677928,-0.2804,,0.6402
MA,1090893,1995196,-0.293,,0.6465
MI,2279543,2268839,0.0024,0.5012,
MN,1322951,1367716,-0.0166,,0.5083
MS,700714,485131,0.1818,0.5909,
MO,1594511,1071068,0.1964,0.5982,
MT,279240,177709,0.2222,0.6111,
NE,495961,284494,0.271,0.6355,
NV,512058,539260,-0.0258,,0.5129
NH,345790,348526,-0.004,,0.502
NJ,1601933,2148278,-0.1456,,0.5728
NM,319667,385234,-0.093,,0.5465
NY,2819534,4556124,-0.2354,,0.6177
NC,2362631,2189316,0.038,0.519,
ND,216794,93758,0.3962,0.6981,
OH,2841005,2394164,0.0854,0.5427,
OK,949136,320375,0.4952,0.7476,
OR,782403,1002106,-0.1232,,0.5616
PA,2970733,2926441,0.0076,0.5038,
RI,180543,252525,-0.1662,,0.5831
SC,1155389,855373,0.1492,0.5746,
SD,227721,117458,0.3194,0.6597,
TN,1522925,870695,0.2724,0.6362,
TX,4685047,3877868,0.0942,0.5471,
UT,515231,310676,0.2476,0.6238,
VT,95369,178573,-0.3038,,0.6519
VA,1768443,1981473,-0.0568,,0.5284
WA,1221747,1742718,-0.1758,,0.5879
WV,389471,188794,0.347,0.6735,
WI,1405284,1382536,0.0082,0.5041,
WY,174419,55973,0.5142,0.7571,
