jurisdiction,year,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,,,,,,
Alaska,2001,0,0,"633,630","3,735",39,501,,514,"2,681","23,160","3,847","16,695","2,618",,,,,,
Alaska,2002,0,0,"641,482","3,627",33,511,,489,"2,594","24,118","3,908","17,739","2,471",,,,,,
Alaska,2003,0,0,"648,280","3,877",39,605,,446,"2,787","24,386","3,874","18,051","2,461",,,,,,
Alaska,2004,0,0,"657,755","4,159",37,558,,447,"3,117","22,172","3,773","16,159","2,240",,,,,,
Alaska,2005,0,0,"663,253","4,194",32,538,,537,"3,087","23,975","4,131","17,249","2,595",,,,,,
Alaska,2006,0,0,"670,053","4,610",36,512,,600,"3,462","23,975","4,155","17,284","2,536",,,,,,
Alaska,2007,0,0,"683,478","4,520",43,545,,581,"3,351","23,096","3,734","16,929","2,433",,,,,,
Alaska,2008,0,0,"686,293","4,475",27,447,,645,"3,356","20,090","3,237","15,225","1,628",,,,,,
Alaska,2009,0,0,"698,473","4,424",22,513,,654,"3,235","20,538","3,600","15,251","1,687",,,,,,
Alaska,2010,0,0,"714,146","4,537",31,533,,594,"3,379","20,259","3,105","15,535","1,619",,,,,,
Alaska,2011,0,0,"723,860","4,416",30,436,,576,"3,374","19,094","2,852","14,854","1,388",,,,,,
Alaska,2012,0,0,"730,307","4,412",30,583,,630,"3,169","20,037","2,950","15,565","1,522",,,,,,
Alaska,2013,0,0,"737,259","4,709",34,657,925,623,"3,127","21,211","2,917","16,599","1,695",,,,,,
Alaska,2014,0,0,"736,732","4,684",41,555,771,629,"3,243","20,334","3,150","15,445","1,739",,,,,,
Arizona,2001,0,0,"5,306,966","28,675",400,"1,518",,"8,868","17,889","293,874","54,821","186,850","52,203",,,,,,
Arizona,2002,0,0,"5,441,125","30,171",387,"1,608",,"8,000","20,176","318,296","59,087","201,541","57,668",,,,,,
Arizona,2003,0,0,"5,579,222","28,638",441,"1,856",,"7,619","18,722","314,335","58,613","198,725","56,997",,,,,,
Arizona,2004,0,0,"5,739,879","28,952",414,"1,896",,"7,721","18,921","291,203","56,885","179,012","55,306",,,,,,
Arizona,2005,0,0,"5,953,007","30,478",445,"2,006",,"8,579","19,448","287,345","56,328","176,112","54,905",,,,,,
Arizona,2006,0,0,"6,166,318","33,456",533,"2,449",,"9,491","20,983","294,389","59,418","178,321","56,650",,,,,,
Arizona,2007,0,0,"6,338,755","32,835",548,"2,353",,"9,764","20,170","287,308","59,988","177,076","50,244",,,,,,
Arizona,2008,0,0,"6,500,180","31,567",462,"2,200",,"9,809","19,096","266,653","58,606","169,460","38,587",,,,,,
Arizona,2009,0,0,"6,595,778","28,128",380,"2,279",,"8,199","17,270","236,721","54,308","155,976","26,437",,,,,,
Arizona,2010,0,0,"6,413,158","26,528",408,"2,191",,"6,953","16,976","226,802","50,932","154,137","21,733",,,,,,
Arizona,2011,0,0,"6,467,315","26,789",397,"2,499",,"7,145","16,748","229,896","54,695","155,400","19,801",,,,,,
Arizona,2012,0,0,"6,551,149","28,077",358,"2,282",,"7,383","18,054","231,701","52,911","159,808","18,982",,,,,,
Arizona,2013,0,0,"6,634,997","27,576",355,"2,344","3,174","6,656","17,391","223,294","48,292","158,036","16,966",,,,,,
Arizona,2014,0,0,"6,731,484","26,916",319,"2,464","3,378","6,249","16,970","215,240","43,562","154,091","17,587",,,,,,
Alabama,2001,0,0,"4,468,912","19,582",379,"1,369",,"5,584","12,250","173,253","40,642","119,992","12,619",,,,,,
Alabama,2002,0,0,"4,478,896","19,931",303,"1,664",,"5,962","12,002","180,400","42,578","123,932","13,890",,,,,,
Alabama,2003,0,0,"4,503,726","19,331",299,"1,656",,"6,038","11,338","182,241","43,245","124,039","14,957",,,,,,
Alabama,2004,0,0,"4,525,375","19,324",254,"1,742",,"6,042","11,286","182,340","44,666","123,650","14,024",,,,,,
Alabama,2005,0,0,"4,548,327","19,678",374,"1,564",,"6,447","11,293","177,393","43,473","120,780","13,140",,,,,,
Alabama,2006,0,0,"4,599,030","19,553",382,"1,646",,"7,062","10,463","181,249","44,780","121,451","15,018",,,,,,
Alabama,2007,0,0,"4,627,851","20,775",412,"1,548",,"7,398","11,417","184,082","45,379","124,465","14,238",,,,,,
Alabama,2008,0,0,"4,661,900","21,110",351,"1,618",,"7,346","11,795","190,416","50,411","126,539","13,466",,,,,,
Alabama,2009,0,0,"4,708,708","21,194",322,"1,504",,"6,265","13,103","178,007","48,844","118,072","11,091",,,,,,
Alabama,2010,0,0,"4,785,401","18,363",275,"1,355",,"4,864","11,869","168,828","42,484","115,564","10,780",,,,,,
Alabama,2011,1,0,"4,803,689","20,166",299,"1,370",,"4,906","13,591","173,192","51,119","111,411","10,662",,,,,,
Alabama,2012,0,0,"4,817,528","21,693",342,"1,296",,"5,020","15,035","168,878","47,481","111,523","9,874",,,,,,
Alabama,2013,0,0,"4,833,996","20,834",346,"1,449","2,055","4,645","13,788","161,835","42,410","108,862","10,563",,,,,,
Alabama,2014,0,0,"4,849,377","20,727",276,"1,436","2,005","4,701","13,745","154,094","39,715","104,238","10,141",,,,,,
