States;2010;2011;2012;2013;2014;2015;2016;2017;2018
Alabama;40181;46206;43796;43133;46303;45522;49,55;47,308;46,513
Alaska;5845;5834;6494;7634;7042;8102;5,991;8,493;7,561
Arizona;50858;58348;60925;68807;66974;66605;67,573;74,095;75,695
Arkansas;20353;25822;25505;25174;22881;27949;28,65;30,96;31,689
California;450720;461489;490608;517973;550074;578727;608,148;640,938;653,102
Colorado;64230;74046;77009;72269;84481;88628;87,587;99,907;100,696
Connecticut;59759;60079;65666;67904;65958;68561;67,607;68,409;70,359
Delaware;11277;11229;11385;14542;14891;14035;14,212;15,622;15,366
Florida;161396;166977;182704;181324;199619;204772;214,145;220,501;250,82
Georgia;113358;107933;116731;125628;120235;127423;135,824;142,415;136,923
Hawaii;11982;14561;14482;16466;14360;17756;16,503;14,917;16,345
Idaho;10658;12218;13373;11328;11008;13585;11,647;13,426;13,601
Illinois;201222;205144;214749;221799;228295;218301;227,29;226,551;235,681
Indiana;54206;53691;62537;62990;67049;68848;72,442;74,572;70,455
Iowa;28073;31226;32220;32755;33361;33067;36,721;37,08;32,446
Kansas;30693;33163;35663;34499;37179;38535;41,554;41,766;41,798
Kentucky;40578;47302;48258;47653;48143;49806;50,277;50,658;55,945
Louisiana;38047;38005;43746;43165;46393;47003;49,742;48,418;52,443
Maine;9128;11813;9716;12330;9162;11886;15,103;15,176;13,895
Maryland;105385;107371;117922;123078;131723;125162;126,101;125,734;130,237
Massachusetts;147868;151103;153562;167488;172398;181686;182,28;190,348;193,548
Michigan;95358;94577;99055;109522;119977;111487;115,862;131,714;124,811
Minnesota;66387;65910;69077;71063;83170;79809;76,503;85,776;88,436
Mississippi;22896;23325;24060;25663;28681;23978;26,207;24,836;27,74
Missouri;70133;75511;75006;77247;84703;81704;81,544;84,431;88,414
Montana;6599;7085;7611;10241;9398;10562;8,777;8,436;10,949
Nebraska;18884;20363;21659;24107;21231;25334;25,537;26,994;28,7
Nevada;20623;18329;21683;20492;22201;21223;23,122;25,914;24,81
New Hampshire;13334;15088;15089;13597;17102;18103;20,207;21,018;20,554
New Jersey;137772;140406;151265;159970;152972;158566;163,197;177,487;169,185
New Mexico;16297;15448;18331;22131;19424;21528;20,333;21,267;19,97
New York;387056;406083;410388;418254;435851;433097;449,621;462,426;465,527
North Carolina;91441;97397;106489;116101;115255;121085;128,372;138,088;128,29
North Dakota;7263;7275;8658;8349;7322;8917;9,204;11,745;8,007
Ohio;121975;128754;133863;144462;145823;145618;147,83;157,439;165,268
Oklahoma;27700;29169;32279;31120;35148;32445;36,194;36,205;40,524
Oregon;40349;42933;47201;47167;47288;57053;59,071;59,539;57,5
Pennsylvania;162111;170724;180149;185976;194063;199027;200,607;219,939;215,605
Rhode Island;15161;12784;14757;15721;15862;16508;16,27;18,375;19,45
South Carolina;44525;42085;46687;50241;50259;54350;53,596;55,682;55,136
South Dakota;6581;7354;8265;7455;7982;7874;9,683;8,978;10,261
Tennessee;67359;64399;68688;74873;73670;80298;84,038;90,945;78,791
Texas;240730;262755;274243;295887;313154;318597;336,774;352,472;371,27
Utah;25910;28289;32682;33386;29603;30404;38,186;35,286;39,145
Vermont;6292;7370;6716;7404;9051;6872;8,072;8,179;9,033
Virginia;137494;142002;152081;158300;162915;158633;169,388;164,94;165,743
Washington;83161;88664;86232;89892;98037;111116;121,543;126,394;137,01
West Virginia;15142;16000;16740;18971;17044;19005;18,642;15,828;18,232
Wisconsin;55076;55685;61620;62831;60988;57912;69,098;66,065;68,484
Wyoming;5332;5376;2486;6368;5352;5589;5,065;5,772;6,469
