States;2018 At Least High School Graduate ;2018 Bachelor's Degree and Higher;2018 Graduate or Professional Degree;2017 At Least High School Graduate ;2017 Bachelor's Degree and Higher;2017 Graduate or Professional Degree;2016 At Least High School Graduate ;2016 Bachelor's Degree and Higher;2016 Graduate or Professional Degree;2015 At least High School Graduate  ;2015 Bachelors Degree and higher;2015 Graduate or Professional Degree;2014 At least High School Graduate;2014 Bachelors Degree and higher;2014 Graduate or Professional Degree;2013 At least High School Graduate ;2013  Bachelors Degree and higher;2013 Graduate or Professional Degree;2012 At least High School Graduate ;2012  Bachelors Degree and higher;2012 Graduate or Professional Degree;2011 At least High School Graduate ;2011 Bachelors Degree and higher;2011 Graduate or Professional Degree;2010 At least High School Graduate;2010 Bachelors Degree and higher;2010 Graduate or Professional Degree;
Alabama;565,653;172,677;46,513;555,404;167,848;47,308;550,214;165,375;49,55;542689;115608;45522;531816;108266;46303;529798;107697;43133;529194;116008;43796;513847;104936;46206;500485;109257;40181;
Alaska;110,772;31,724;7,561;106,986;28,098;8,493;114,205;33,513;5,991;110327;25566;8102;106140;20543;7042;105476;23128;7634;101263;19850;6494;99302;19719;5834;95161;19516;5845;
Arizona;877,123;285,226;75,695;845,756;275,199;74,095;807,939;251,894;67,573;795472;174442;66605;779091;166060;66974;751038;163350;68807;751034;161310;60925;744032;161978;58348;731226;153118;50858;
Arkansas;360,773;102,024;31,689;346,59;102,015;30,96;339,816;94,961;28,65;341615;65084;27949;336964;68255;22881;335170;63767;25174;333157;59378;25505;332265;60937;25822;318391;62632;20353;
California;5,424,352;2,210,574;653,102;5,390,200;2,181,935;640,938;5,193,801;2,093,253;608,148;5078189;1406433;578727;4947133;1347397;550074;4767196;1276357;517973;4646641;1252312;490608;4548755;1189561;461489;4413891;1183758;450720;
Colorado;826,968;380,467;100,696;804,127;366,95;99,907;766,818;338,723;87,587;761849;236299;88628;719944;216315;84481;702581;215113;72269;680531;206620;77009;670770;204648;74046;645761;198932;64230;
Connecticut;417,303;194,607;70,359;408,392;188,577;68,409;407,069;189,635;67,607;408304;125143;68561;401999;113337;65958;403175;112967;67904;398666;108318;65666;387729;107647;60079;377322;106944;59759;
Delaware;114,014;41,697;15,366;120,208;40,404;15,622;114,481;41,773;14,212;109417;26841;14035;107520;25963;14891;104594;26651;14542;100741;25557;11385;97339;24730;11229;94517;22984;11277;
Florida;2,500,489;859,717;250,82;2,446,928;811,471;220,501;2,380,063;770,405;214,145;2326010;549159;204772;2235197;498475;199619;2140416;484234;181324;2091829;457099;182704;2026778;440557;166977;1952799;418893;161396;
Georgia;1,297,265;478,261;136,923;1,259,940;453,269;142,415;1,233,324;442,513;135,824;1209458;298116;127423;1191096;290666;120235;1161118;272885;125628;1147777;267388;116731;1131924;277393;107933;1112702;255300;113358;
