fips;area_name;state_abbreviation;2014 Population;2010 Population;2014 %Person under 5 years;2014 %Person under 18 years;2014 %Person 65 years and over;2014 % femal person;2014 % white ;2014 %black or African American ;2014 % American Indian and Alaska native;2014 %Asian ;2014 % Native Hawaiian and other pacific islander ;2014 %Two or more race ;2014 %Hispanic or latino;2009-2013 Living in same house 1 year or over;2009-2013 foreign born person;2009-2013 Language other than English spoken at home;2009-2013 High school graduate or higher 25+;2009-2013 Bachelor’s degree or higher 25+;2009-2013 Veterans;2009-2013 mean travel time to work (min);2009-2013 Homeownership rate;2009-2013 Households;2009-2013 Median household income;2009-2013 %Persons below poverty level;2010 land area in square mile;2010 population per square mile 
0;United States;;318857056;308758105;6.2;23.1;14.5;50.8;77.4;13.2;1.2;5.4;0.2;2.5;17.4;84.9;12.9;20.7;86.0;28.8;21263779;25.5;64.9;115610216;53046;15.4;3531905.43;87.4
1000;Alabama;;4849377;4780127;6.1;22.8;15.3;51.5;69.7;26.7;0.7;1.3;0.1;1.5;4.1;85.0;3.5;5.2;83.1;22.6;388865;24.2;69.7;1838683;43253;18.6;50645.33;94.4
1001;Autauga County;AL;55395;54571;6.0;25.2;13.8;51.4;77.9;18.7;0.5;1.1;0.1;1.8;2.7;85.0;1.6;3.5;85.6;20.9;5922;26.2;76.8;20071;53682;12.1;594.44;91.8
1003;Baldwin County;AL;200111;182265;5.6;22.2;18.7;51.2;87.1;9.6;0.7;0.9;0.1;1.6;4.6;82.1;3.6;5.5;89.1;27.7;19346;25.9;72.6;73283;50221;13.9;1589.78;114.6
1005;Barbour County;AL;26887;27457;5.7;21.2;16.5;46.6;50.2;47.6;0.6;0.5;0.2;0.9;4.5;84.8;2.9;5.0;73.7;13.4;2120;24.6;67.7;9200;32911;26.7;884.88;31.0
1007;Bibb County;AL;22506;22919;5.3;21.0;14.8;45.9;76.3;22.1;0.4;0.2;0.1;0.9;2.1;86.6;1.2;2.1;77.5;12.1;1327;27.6;79.0;7091;36447;18.1;622.58;36.8
1009;Blount County;AL;57719;57322;6.1;23.6;17.0;50.5;96.0;1.8;0.6;0.3;0.1;1.2;8.7;88.7;4.3;7.3;77.0;12.1;4540;33.9;81.0;21108;44145;15.8;644.78;88.9
1011;Bullock County;AL;10764;10915;6.3;21.4;14.9;45.3;26.9;70.1;0.8;0.3;0.7;1.1;7.5;84.7;5.4;5.2;67.8;12.5;636;26.9;74.3;3741;32033;21.6;622.81;17.5
1013;Butler County;AL;20296;20946;6.1;23.6;18.0;53.6;53.9;44.0;0.4;0.9;0.0;0.8;1.2;94.6;0.8;1.7;76.3;14.0;1497;24.0;70.3;8235;29918;28.4;776.83;27.0
1015;Calhoun County;AL;115916;118586;5.7;22.2;16.0;51.8;75.8;21.1;0.5;0.9;0.1;1.7;3.5;83.6;2.4;4.5;78.6;16.1;11385;22.5;68.7;45196;39962;21.9;605.87;195.7
1017;Chambers County;AL;34076;34170;5.9;21.4;18.3;52.3;58.3;39.5;0.3;0.8;0.1;1.1;2.0;85.8;1.1;1.3;75.1;11.8;2691;24.6;67.9;13722;32402;24.1;596.53;57.4
1019;Cherokee County;AL;26037;25986;4.8;20.4;20.9;50.2;93.0;4.6;0.5;0.3;0.0;1.6;1.5;90.6;0.7;1.1;78.3;12.8;2174;26.9;76.1;11656;34907;21.2;553.7;46.9
1021;Chilton County;AL;43931;43631;6.4;24.2;15.2;50.8;87.1;10.6;0.5;0.4;0.2;1.2;7.7;88.8;5.2;7.4;76.0;12.9;3308;31.8;74.5;16232;41250;19.5;692.85;63.0
1023;Choctaw County;AL;13323;13858;4.9;20.6;20.8;52.5;56.6;42.4;0.2;0.3;0.0;0.5;0.8;91.4;0.3;1.3;75.2;11.8;938;33.4;83.7;5518;33941;21.5;913.5;15.2
1025;Clarke County;AL;24945;25840;5.6;22.6;18.0;52.8;54.0;44.2;0.4;0.5;0.0;0.8;1.3;92.5;0.3;1.3;78.3;11.2;1583;25.5;72.9;9631;29357;29.3;1238.47;20.9
1027;Clay County;AL;13552;13932;5.3;21.6;19.4;50.6;82.8;14.5;0.6;0.3;0.0;1.8;3.4;88.3;2.2;3.3;76.5;9.2;1076;30.7;75.0;5649;34002;19.0;603.96;23.1
1029;Cleburne County;AL;15080;14972;5.7;23.3;18.4;50.4;94.5;3.6;0.4;0.2;0.1;1.2;2.5;89.1;1.5;2.3;76.0;9.0;989;31.4;77.6;5601;38019;18.4;560.1;26.7
1031;Coffee County;AL;50909;49948;6.1;23.7;15.9;50.5;76.4;17.7;1.4;1.6;0.4;2.5;6.4;83.3;5.1;7.5;82.4;22.5;6066;21.3;69.9;18820;43768;18.6;678.97;73.6
1033;Colbert County;AL;54543;54428;5.7;21.7;18.5;51.8;80.8;16.3;0.6;0.5;0.1;1.7;2.6;87.2;2.0;2.6;83.5;17.7;4376;22.7;72.1;22260;39077;17.9;592.62;91.8
1035;Conecuh County;AL;12670;13228;5.5;21.4;20.4;51.9;52.1;46.2;0.4;0.1;0.0;1.2;1.8;96.9;0.6;2.2;77.3;8.8;1101;27.2;79.1;4994;24658;32.7;850.16;15.6
1037;Coosa County;AL;10886;11758;4.8;18.3;18.5;49.5;66.1;31.8;0.6;0.2;0.2;1.2;2.3;87.2;1.8;3.3;75.0;9.8;934;30.2;83.0;4506;37277;20.9;650.93;17.7
1039;Covington County;AL;37914;37765;5.9;22.1;19.8;51.6;84.3;13.0;0.6;0.5;0.0;1.6;1.6;86.7;1.4;2.1;78.4;14.2;3433;23.3;75.1;15041;35869;20.0;1030.46;36.6
1041;Crenshaw County;AL;13977;13906;6.1;22.7;18.0;51.1;72.0;24.0;0.5;1.8;0.1;1.6;1.7;86.3;2.3;3.2;76.7;12.7;1098;30.3;69.9;5601;36275;19.1;608.84;22.8
1043;Cullman County;AL;81289;80410;5.9;22.5;17.6;50.5;96.2;1.4;0.6;0.5;0.0;1.2;4.4;87.0;3.0;4.6;79.8;14.8;6167;26.4;75.0;31342;38847;18.8;734.84;109.4
1045;Dale County;AL;49484;50251;6.3;23.6;15.4;50.5;75.2;19.7;0.8;1.3;0.1;2.8;6.1;78.4;3.7;6.3;84.1;17.0;6730;20.9;61.1;19345;44889;17.4;561.15;89.6
1047;Dallas County;AL;41711;43820;6.7;25.2;15.6;53.7;29.0;69.5;0.2;0.5;0.0;0.7;1.0;86.7;0.8;1.3;77.5;14.2;2897;22.0;60.9;16173;26519;35.5;978.7;44.8
1049;DeKalb County;AL;71065;71115;6.2;24.7;15.7;50.7;92.4;2.1;2.1;0.4;0.7;2.2;14.2;90.9;7.5;11.2;70.6;10.7;4371;23.3;76.3;24923;37851;19.9;777.09;91.5
1051;Elmore County;AL;80977;79296;5.9;23.0;14.0;51.5;76.0;21.2;0.4;0.7;0.1;1.6;2.7;85.4;2.1;3.6;86.6;21.0;8364;28.2;75.5;28324;54766;13.4;618.49;128.2
1053;Escambia County;AL;37733;38319;6.1;22.0;16.7;48.8;62.2;32.4;3.4;0.3;0.1;1.7;2.1;93.4;0.6;1.4;76.2;11.7;2995;23.5;72.5;13681;30687;25.4;945.08;40.5
1055;Etowah County;AL;103531;104427;5.7;22.1;17.3;51.6;81.2;15.5;0.5;0.8;0.3;1.6;3.7;85.0;2.2;3.1;81.8;14.8;8638;23.9;72.4;40217;38013;19.0;534.99;195.2
1057;Fayette County;AL;16874;17241;5.4;21.7;19.6;50.5;86.2;11.9;0.4;0.3;0.0;1.1;1.4;87.8;0.6;0.8;74.9;13.2;1221;27.5;74.9;6956;33838;19.9;627.66;27.5
1059;Franklin County;AL;31601;31709;6.6;24.3;15.9;50.3;91.9;4.6;1.5;0.4;0.2;1.5;16.1;86.4;8.4;13.2;72.5;11.0;1860;26.2;69.5;12437;36415;21.9;633.82;50.0
1061;Geneva County;AL;26712;26790;5.8;22.2;19.2;50.8;87.1;9.7;1.0;0.4;0.1;1.7;3.6;82.7;1.8;3.0;77.2;10.4;2336;25.6;72.1;10945;35625;21.2;574.41;46.6
1063;Greene County;AL;8553;9045;5.9;23.3;17.9;52.5;18.5;80.5;0.2;0.2;0.0;0.6;1.0;92.4;0.2;1.4;76.2;12.8;502;28.0;73.2;3264;24226;32.9;647.11;14.0
1065;Hale County;AL;15184;15760;6.2;23.3;17.3;52.8;40.8;58.1;0.2;0.3;0.0;0.6;1.3;90.6;1.2;2.7;77.4;12.8;995;27.1;78.0;5969;30051;26.6;643.94;24.5
1067;Henry County;AL;17190;17302;5.5;21.2;20.8;51.8;70.4;27.3;0.3;0.7;0.0;1.2;2.6;91.9;2.9;5.0;80.1;16.6;1497;26.0;77.7;7001;41650;14.4;561.75;30.8
1069;Houston County;AL;104193;101547;6.2;23.7;16.1;52.1;70.0;26.7;0.5;0.9;0.1;1.8;3.3;86.3;2.4;4.4;83.9;19.7;9254;20.8;64.6;39250;40948;18.0;579.82;175.1
1071;Jackson County;AL;52665;53226;5.4;21.7;18.6;50.7;91.5;3.6;1.6;0.5;0.1;2.6;2.9;91.2;2.2;3.4;74.6;13.0;4000;26.4;75.2;20765;37634;16.0;1077.87;49.4
