State;Medicaid Expansion State?        Yes (Y) or No (N)1;2013 Uninsured;;2014 Uninsured;;2015 Uninsured;;2016 Uninsured;;Difference in Uninsured;;;;;
Alabama……………………………….;N;13,6;0,4;12,1;0,4;10,1;0,3;9,1;0,3;*-1.0;0,4;*-4.5;0,5;;
Alaska……………………………………..;+Y;18,5;1,0;17,2;0,9;14,9;0,7;14,0;0,9;-0.9;1,1;*-4.5;1,3;;
Arizona…………………………………..;Y;17,1;0,4;13,6;0,3;10,8;0,3;10,0;0,3;*-0.9;0,4;*-7.2;0,5;;
Arkansas……………………………….;Y;16,0;0,5;11,8;0,4;9,5;0,4;7,9;0,4;*-1.6;0,6;*-8.1;0,6;;
California………………………………;Y;17,2;0,2;12,4;0,1;8,6;0,1;7,3;0,1;*-1.2;0,1;*-9.8;0,2;;
Colorado……………………………….;Y;14,1;0,3;10,3;0,3;8,1;0,3;7,5;0,3;*-0.5;0,4;*-6.6;0,4;;
Connecticut…………………………;Y;9,4;0,4;6,9;0,3;6,0;0,4;4,9;0,3;*-1.1;0,5;*-4.5;0,5;;
Delaware……………………………….;Y;9,1;0,7;7,8;0,7;5,9;0,6;5,7;0,5;-0.2;0,8;*-3.5;0,8;;
District of Columbia…………..;Y;6,7;0,6;5,3;0,7;3,8;0,6;3,9;0,6;0.1;0,9;*-2.7;0,9;;
Florida……………………………………;N;20,0;0,2;16,6;0,2;13,3;0,2;12,5;0,2;*-0.8;0,3;*-7.5;0,3;;
;;;;;;;;;;;;;;;
Georgia…………………………………;N;18,8;0,3;15,8;0,3;13,9;0,3;12,9;0,3;*-0.9;0,4;*-5.9;0,4;;
Hawaii…………………………………….;Y;6,7;0,4;5,3;0,4;4,0;0,3;3,5;0,4;-0.4;0,5;*-3.2;0,6;;
Idaho……………………………………..;N;16,2;0,8;13,6;0,7;11,0;0,6;10,1;0,5;*-0.9;0,8;*-6.1;0,9;;
Illinois……………………………………..;Y;12,7;0,2;9,7;0,2;7,1;0,2;6,5;0,2;*-0.6;0,2;*-6.3;0,3;;
Indiana…………………………………..;+Y;14,0;0,3;11,9;0,3;9,6;0,3;8,1;0,3;*-1.5;0,4;*-5.8;0,4;;
Iowa………………………………………..;Y;8,1;0,3;6,2;0,3;5,0;0,3;4,3;0,2;*-0.8;0,4;*-3.9;0,4;;
Kansas…………………………………..;N;12,3;0,4;10,2;0,4;9,1;0,4;8,7;0,3;-0.4;0,5;*-3.5;0,5;;
Kentucky………………………………;Y;14,3;0,3;8,5;0,3;6,0;0,2;5,1;0,2;*-0.9;0,3;*-9.2;0,4;;
Louisiana………………………………;N;16,6;0,4;14,8;0,3;11,9;0,4;10,3;0,4;*-1.7;0,5;*-6.3;0,5;;
Maine……………………………………..;N;11,2;0,5;10,1;0,6;8,4;0,5;8,0;0,5;-0.4;0,7;*-3.1;0,7;;
;;;;;;;;;;;;;;;
Maryland………………………………;Y;10,2;0,3;7,9;0,3;6,6;0,2;6,1;0,3;*-0.5;0,3;*-4.0;0,4;;
Massachusetts…………………..;Y;3,7;0,2;3,3;0,1;2,8;0,1;2,5;0,2;*-0.3;0,2;*-1.2;0,2;;
Michigan……………………………….;^Y;11,0;0,2;8,5;0,2;6,1;0,1;5,4;0,1;*-0.7;0,2;*-5.6;0,2;;
Minnesota…………………………….;Y;8,2;0,3;5,9;0,2;4,5;0,2;4,1;0,2;*-0.4;0,3;*-4.1;0,3;;
Mississippi…………………………….;N;17,1;0,5;14,5;0,5;12,7;0,4;11,8;0,4;*-0.9;0,6;*-5.2;0,7;;
Missouri…………………………………;N;13,0;0,3;11,7;0,3;9,8;0,3;8,9;0,2;*-0.9;0,3;*-4.1;0,4;;
Montana……………………………….;+Y;16,5;0,8;14,2;0,6;11,6;0,7;8,1;0,5;*-3.5;0,9;*-8.3;0,9;;
Nebraska………………………………;N;11,3;0,5;9,7;0,4;8,2;0,5;8,6;0,5;0.3;0,7;*-2.8;0,7;;
Nevada…………………………………;Y;20,7;0,6;15,2;0,5;12,3;0,4;11,4;0,5;*-0.9;0,6;*-9.3;0,8;;
New Hampshire…………………..;^Y;10,7;0,5;9,2;0,5;6,3;0,4;5,9;0,4;-0.4;0,6;*-4.8;0,7;;
;;;;;;;;;;;;;;;
New Jersey…………………………..;Y;13,2;0,2;10,9;0,2;8,7;0,2;8,0;0,2;*-0.7;0,3;*-5.2;0,3;;
New Mexico………………………….;Y;18,6;0,6;14,5;0,5;10,9;0,5;9,2;0,5;*-1.8;0,7;*-9.5;0,8;;
New York………………………………;Y;10,7;0,2;8,7;0,1;7,1;0,1;6,1;0,1;*-1.0;0,2;*-4.6;0,2;;
North Carolina…………………….;N;15,6;0,3;13,1;0,3;11,2;0,2;10,4;0,2;*-0.8;0,3;*-5.2;0,3;;
North Dakota……………………….;Y;10,4;0,8;7,9;0,7;7,8;0,7;7,0;0,6;-0.7;0,9;*-3.3;1,0;;
Ohio……………………………………….;Y;11,0;0,2;8,4;0,2;6,5;0,2;5,6;0,2;*-0.9;0,2;*-5.4;0,2;;
Oklahoma……………………………;N;17,7;0,3;15,4;0,3;13,9;0,3;13,8;0,3;-0.1;0,4;*-3.9;0,5;;
Oregon………………………………….;Y;14,7;0,4;9,7;0,3;7,0;0,3;6,2;0,2;*-0.8;0,4;*-8.4;0,5;;
Pennsylvania………………………;^Y;9,7;0,2;8,5;0,2;6,4;0,1;5,6;0,2;*-0.7;0,2;*-4.1;0,2;;
Rhode Island……………………….;Y;11,6;0,7;7,4;0,6;5,7;0,6;4,3;0,5;*-1.4;0,7;*-7.3;0,8;;
;;;;;;;;;;;;;;;
