States,GDP 1997,GDP 1998,GDP 1999,GDP 2000,GDP 2001,GDP 2002,GDP 2003,GDP 2004,GDP 2005,GDP 2006,GDP 2007,GDP 2008,GDP 2009,GDP 2010,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP average,unemployment 1980,unemployment 1981,unemployment 1982,unemployment 1983,unemployment 1984,unemployment 1985,unemployment 1986,unemployment 1987,unemployment 1988,unemployment 1989,unemployment 1990,unemployment 1991,unemployment 1992,unemployment 1993,unemployment 1994,unemployment 1995,unemployment 1996,unemployment 1997,unemployment 1998,unemployment 1999,unemployment 2000,unemployment 2001,unemployment 2002,unemployment 2003,unemployment 2004,unemployment 2005,unemployment 2006,unemployment 2007,unemployment 2008,unemployment 2009,unemployment 2010,unemployment 2011,unemployment 2012,unemployment 2013,unemployment 2014,unemployment 2015,unemployment 2016,unemployment 2017,unemployment 2018,unemployment average,incomeperson 2014,incomeperson 2015,incomeperson 2016,incomeperson 2017,incomeperson 2018,income average,highschool 2010,highschool 2011,highschool 2012,highschool 2013,highschool 2014,highschool 2015,highschool 2016,highschool 2017,highschool 2018,highschool average,bachelor 2010,bachelor 2011,bachelor 2012,bachelor 2013,bachelor 2014,bachelor 2015,bachelor 2016,bachelor 2017,bachelor 2018,bachelor average,graduate 2010,graduate 2011,graduate 2012,graduate 2013,graduate 2014,graduate 2015,graduate 2016,graduate 2017,graduate 2018,graduate average,2014 Population,2010 Population,2014 %Person under 5 years,2014 %Person under 18 years,2014 %Person 65 years and over,2014 % femal person,2014 % white ,2014 %black or African American ,2014 % American Indian and Alaska native,2014 %Asian ,2014 % Native Hawaiian and other pacific islander ,2014 %Two or more race ,2014 %Hispanic or latino,2009-2013 Living in same house 1 year or over,2009-2013 foreign born person,2009-2013 Language other than English spoken at home,2009-2013 High school graduate or higher 25+,2009-2013 Bachelor’s degree or higher 25+,2009-2013 Veterans,2009-2013 mean travel time to work (min),2009-2013 Homeownership rate,2009-2013 Households,2009-2013 Median household income,2009-2013 %Persons below poverty level,2010 land area in square mile,2010 population per square mile ,2001 crime,2002 crime,2003 crime,2004 crime,2005 crime,2006 crime,2007 crime,2008 crime,2009 crime,2010 crime,2011 crime,2012 crime,2013 crime,2014 crime,2015 crime,2016 crime,crime average,2001 murder,2002 murder,2003 murder,2004 murder,2005 murder,2006 murder,2007 murder,2008 murder,2009 murder,2010 murder,2011 murder,2012 murder,2013 murder,2014 murder,2015 murder,2016 murder,murder average,2001 robbery,2002 robbery,2003 robbery,2004 robbery,2005 robbery,2006 robbery,2007 robbery,2008 robbery,2009 robbery,2010 robbery,2011 robbery,2012 robbery,2013 robbery,2014 robbery,2015 robbery,2016 robbery,robbery average,2001 rape,2002 rape,2003 rape,2004 rape,2005 rape,2006 rape,2007 rape,2008 rape,2009 rape,2010 rape,2011 rape,2012 rape,2013 rape,2014 rape,2015 rape,rape average,Percent Educational Attainment,Percent Peace Index,Percent Above Poverty Rate,Percent Non-religious,2013 Uninsured,2014 Uninsured,2015 Uninsured,2016 Uninsured,uninsured average,2019 Insured,2018 Insured,2017 Insured,2016 Insured,2015 Insured,2014 Insured,2013 Insured,2012 Insured,2011 Insured,2010 Insured,2009 Insured,2008 Insured,insured average,1976 winner,1976 votes,1980 winner,1980 votes,1984 winner,1984 votes,1988 winner,1988 votes,1992 winner,1992 votes,1996 winner,1996 votes,2000 winner,2000 votes,2004 winner,2004 votes,2008 winner,2008 votes,2012 winner,2012 votes,2016 winner,2016 votes
Alabama,144457.3,149613.2,155171.9,157697.7,157137.9,161258.0,165250.5,175916.8,181871.0,185337.0,186499.4,185280.6,178893.4,183014.5,185666.9,186553.9,188814.2,187568.0,189428.8,191523.4,193693.0,198053.7,200829.4,179321.50909090906,8.9,10.6,14.1,13.8,11.0,9.2,9.7,8.1,7.2,7.0,6.8,7.3,7.6,7.3,6.2,6.0,5.2,5.0,4.4,4.7,4.6,5.1,5.9,6.0,5.7,4.5,4.0,4.0,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,5.8,4.4,3.9,7.105263157894734,37271,38891,39536,41030,42710,40541.75,500485,513847,529194,529798,531816,542689,"550,214","555,404","565,653",529468.8,109257,104936,116008,107697,108266,115608,"165,375","167,848","172,677",110503.0,40181,46206,43796,43133,46303,45522,"49,55","47,308","46,513",44190.166666666664,4849377,4780127,6.1,22.8,15.3,51.5,69.7,26.7,0.7,1.3,0.1,1.5,4.1,85.0,3.5,5.2,83.1,22.6,388865,24.2,69.7,1838683,43253,18.6,50645.33,94.4,19582.0,19931.0,19331.0,19324.0,19678.0,19553.0,20775.0,21110.0,21194.0,18363.0,20166.0,21693.0,20834.0,20727.0,22952.0,25878.0,20767.266666666666,379.0,303.0,299.0,254.0,374.0,382.0,412.0,351.0,322.0,275.0,299.0,342.0,346.0,276.0,348.0,407.0,332.6666666666667,5584.0,5962.0,6038.0,6042.0,6447.0,7062.0,7398.0,7346.0,6265.0,4864.0,4906.0,5020.0,4645.0,4701.0,4611.0,4687.0,5732.933333333333,1369.0,1664.0,1656.0,1742.0,1564.0,1646.0,1548.0,1618.0,1504.0,1355.0,1370.0,1296.0,1449.0,1436.0,1456.0,1521.7142857142858,22.0,36.6,80.8,23,13.6,12.1,10.1,9.1,10.433333333333332,90.3,90.0,90.6,90.9,89.9,87.9,86.4,86.7,85.7,85.4,86.2,86.7,87.85454545454546,democrat,659170,republican,654192,republican,872849,republican,815576,republican,804283,republican,769044,republican,941173,republican,1176394,republican,1266546,republican,1255925,republican,1318255
Alaska,42339.2,41238.4,40788.2,39566.8,41019.8,42915.8,42132.7,43752.3,45064.7,48538.5,51144.0,50891.0,55910.6,54219.0,54722.6,57717.5,54748.1,53480.6,54015.3,53289.0,52825.9,52928.7,53255.2,49280.21363636363,9.6,9.4,9.9,9.9,9.8,9.7,10.9,10.3,8.8,7.0,7.2,8.5,8.9,7.7,7.6,7.3,7.6,7.1,6.3,6.5,6.4,6.4,7.3,7.8,7.5,6.9,6.6,6.3,6.7,7.7,7.9,7.6,7.1,7.0,6.9,6.5,6.9,7.0,6.6,7.723684210526316,55835,57635,56302,57394,60355,57921.5,95161,99302,101263,105476,106140,110327,"114,205","106,986","110,772",104501.6,19516,19719,19850,23128,20543,25566,"33,513","28,098","31,724",21761.2,5845,5834,6494,7634,7042,8102,"5,991","8,493","7,561",6825.166666666667,736732,710249,7.4,25.3,9.4,47.4,66.9,3.9,14.8,6.1,1.3,7.1,6.8,80.3,7.0,16.2,91.6,27.5,71004,18.8,63.8,251899,70760,9.9,570640.95,1.2,3735.0,3627.0,3877.0,4159.0,4194.0,4610.0,4520.0,4475.0,4424.0,4537.0,4416.0,4412.0,4709.0,4684.0,5392.0,5966.0,4533.466666666666,39.0,33.0,39.0,37.0,32.0,36.0,43.0,27.0,22.0,31.0,30.0,30.0,34.0,41.0,59.0,52.0,36.4,514.0,489.0,446.0,447.0,537.0,600.0,581.0,645.0,654.0,594.0,576.0,630.0,623.0,629.0,761.0,850.0,604.1333333333333,501.0,511.0,605.0,558.0,538.0,512.0,545.0,447.0,513.0,533.0,436.0,583.0,657.0,555.0,650.0,545.9285714285714,26.6,44.98,88.6,55,18.5,17.2,14.9,14.0,15.366666666666667,87.8,87.4,86.3,86.0,85.1,82.8,81.5,79.5,79.9,80.1,78.9,80.9,82.58181818181816,republican,71555,republican,86112,republican,138377,republican,119251,republican,102000,republican,122746,republican,167398,republican,190889,republican,193841,republican,164676,republican,163387
Arizona,168372.2,182983.5,198002.1,207774.8,212648.3,219370.4,233339.1,243192.6,263047.3,277189.0,284811.7,277357.6,254906.9,257396.9,263144.1,268068.2,269967.4,274112.9,281935.6,291259.6,302117.8,314016.1,323597.6,259101.7954545454,6.6,6.2,10.1,8.8,5.2,6.3,6.9,6.5,6.4,5.3,5.3,5.9,7.5,6.4,6.1,5.3,5.6,4.6,4.3,4.4,4.0,4.8,6.1,5.7,5.0,4.7,4.2,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4,4.9,4.8,6.197368421052632,38246,39718,40801,42590,44597,41926.5,731226,744032,751034,751038,779091,795472,"807,939","845,756","877,123",764133.4,153118,161978,161310,163350,166060,174442,"251,894","275,199","285,226",165428.0,50858,58348,60925,68807,66974,66605,"67,573","74,095","75,695",62086.166666666664,6731484,6392310,6.4,24.1,15.9,50.3,83.7,4.7,5.3,3.3,0.3,2.7,30.5,80.4,13.4,26.8,85.7,26.9,522382,24.6,64.4,2370289,49774,17.9,113594.08,56.3,28675.0,30171.0,28638.0,28952.0,30478.0,33456.0,32835.0,31567.0,28128.0,26528.0,26789.0,28077.0,27576.0,26916.0,28012.0,32542.0,29377.666666666668,400.0,387.0,441.0,414.0,445.0,533.0,548.0,462.0,380.0,408.0,397.0,358.0,355.0,319.0,309.0,389.0,409.6666666666667,8868.0,8000.0,7619.0,7721.0,8579.0,9491.0,9764.0,9809.0,8199.0,6953.0,7145.0,7383.0,6656.0,6249.0,6360.0,7045.0,7798.2,1518.0,1608.0,1856.0,1896.0,2006.0,2449.0,2353.0,2200.0,2279.0,2191.0,2499.0,2282.0,2344.0,2464.0,2294.0,2194.3571428571427,25.6,35.66,81.8,47,17.1,13.6,10.8,10.0,11.466666666666667,88.7,89.4,89.9,90.0,89.2,86.4,82.9,82.4,82.8,83.1,82.7,82.0,85.52727272727272,republican,418642,republican,529688,republican,681416,republican,702541,republican,572086,democrat,653288,republican,781652,republican,1104294,republican,1230111,republican,1233654,republican,1252401
Arkansas,82760.4,84791.3,89339.5,90224.2,90081.0,92989.3,96714.2,101194.5,104758.6,107084.1,106272.5,105923.2,102513.5,105223.6,107320.6,107718.8,110301.4,111729.9,112938.9,113490.4,114950.7,116698.8,117447.1,104077.54999999999,7.6,8.7,9.9,9.9,8.7,8.7,8.6,8.1,7.6,7.0,6.9,7.4,7.1,6.1,5.4,4.8,5.3,5.2,5.2,4.6,4.3,5.0,5.5,5.9,5.7,5.2,5.2,5.3,5.5,7.8,8.2,8.3,7.6,7.2,6.0,5.0,4.0,3.7,3.7,6.428947368421052,38264,39513,40385,41657,43325,41220.0,318391,332265,333157,335170,336964,341615,"339,816","346,59","360,773",335834.2,62632,60937,59378,63767,68255,65084,"94,961","102,015","102,024",63484.2,20353,25822,25505,25174,22881,27949,"28,65","30,96","31,689",24614.0,2966369,2915958,6.5,23.8,15.7,50.9,79.7,15.6,1.0,1.5,0.3,1.9,7.0,83.6,4.5,7.2,83.7,20.1,237311,21.3,66.7,1129723,40768,19.2,52035.48,56.0,12190.0,11501.0,12449.0,13814.0,14670.0,15538.0,15226.0,14649.0,14905.0,14711.0,14173.0,13851.0,13705.0,14243.0,15526.0,16563.0,14368.266666666666,148.0,142.0,180.0,176.0,189.0,205.0,198.0,165.0,179.0,134.0,160.0,174.0,158.0,165.0,181.0,217.0,174.86666666666667,2181.0,2524.0,2227.0,2372.0,2532.0,2749.0,3105.0,2777.0,2576.0,2369.0,2357.0,2310.0,2261.0,2050.0,2098.0,2125.0,2428.8,892.0,754.0,911.0,1183.0,1202.0,1325.0,1294.0,1463.0,1378.0,1321.0,1230.0,1233.0,1135.0,1182.0,1300.0,1207.9285714285713,18.9,35.98,81.3,30,16.0,11.8,9.5,7.9,9.733333333333334,90.9,91.8,92.1,92.1,90.5,88.2,84.0,83.6,82.9,82.5,83.0,82.9,86.69090909090909,democrat,498604,republican,403164,republican,534774,republican,466578,democrat,505823,democrat,475171,republican,472940,republican,572898,republican,638017,republican,647744,republican,684872
California,1379722.1,1470543.0,1583231.3,1709490.6,1707064.7,1747199.5,1829296.5,1902550.4,1988736.5,2072274.1,2103014.8,2110596.1,2025633.2,2056990.4,2090836.8,2144089.6,2219610.5,2316331.2,2437366.9,2519133.6,2628314.6,2708966.9,2800505.4,2098717.118181818,6.8,7.4,10.0,9.8,7.8,7.2,6.7,5.8,5.3,5.1,5.8,7.7,9.3,9.5,8.6,7.9,7.3,6.4,5.9,5.2,4.9,5.4,6.7,6.8,6.2,5.4,4.9,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5,4.8,4.2,7.218421052631579,52363,55833,58048,60549,63720,59537.5,4413891,4548755,4646641,4767196,4947133,5078189,"5,193,801","5,390,200","5,424,352",4797582.8,1183758,1189561,1252312,1276357,1347397,1406433,"2,093,253","2,181,935","2,210,574",1294412.0,450720,461489,490608,517973,550074,578727,"608,148","640,938","653,102",508265.1666666667,38802500,37254503,6.5,23.6,12.9,50.3,73.2,6.5,1.7,14.4,0.5,3.7,38.6,84.2,27.0,43.7,81.2,30.7,1893539,27.2,55.3,12542460,61094,15.9,155779.22,239.1,212867.0,208388.0,205551.0,189175.0,190178.0,194483.0,191561.0,185329.0,174934.0,164133.0,154943.0,160944.0,154739.0,153709.0,166883.0,174796.0,177983.06666666668,2206.0,2395.0,2407.0,2392.0,2503.0,2486.0,2262.0,2142.0,1972.0,1809.0,1792.0,1884.0,1746.0,1699.0,1861.0,1930.0,2085.3333333333335,64614.0,64968.0,63770.0,61768.0,63622.0,71142.0,70706.0,69388.0,64093.0,58116.0,54291.0,56521.0,53640.0,48680.0,52862.0,54789.0,60557.066666666666,9960.0,10198.0,9994.0,9615.0,9392.0,9235.0,9046.0,8903.0,8713.0,8331.0,7665.0,7837.0,7464.0,8398.0,9387.0,8869.857142857143,29.9,45.24,83.6,51,17.2,12.4,8.6,7.3,9.433333333333334,92.3,92.8,92.8,92.7,91.4,87.6,82.8,82.1,81.9,81.5,82.0,82.7,86.39090909090909,republican,3882244,republican,4522994,republican,5467009,republican,5054917,democrat,5121325,democrat,5119835,democrat,5861203,democrat,6745485,democrat,8274473,democrat,7854285,democrat,8753788
Colorado,184492.1,201034.9,216139.3,232832.1,236310.6,236869.2,238843.8,241224.7,251266.6,256152.2,264664.5,267964.9,262463.3,265319.3,268553.4,273593.9,282605.5,294812.0,308898.9,315793.0,328510.2,342865.6,356280.2,270136.2772727273,5.8,5.7,7.3,7.1,5.4,6.1,7.5,7.5,6.5,5.7,5.2,5.3,6.0,5.3,4.2,4.0,4.2,3.5,3.6,3.1,2.8,3.8,5.5,6.0,5.5,5.0,4.3,3.7,4.8,7.3,8.7,8.4,7.9,6.9,5.0,3.9,3.2,2.7,3.3,5.313157894736842,50711,52254,52475,55604,58896,54807.25,645761,670770,680531,702581,719944,761849,"766,818","804,127","826,968",707135.0,198932,204648,206620,215113,216315,236299,"338,723","366,95","380,467",215799.0,64230,74046,77009,72269,84481,88628,"87,587","99,907","100,696",76777.16666666667,5355866,5029324,6.3,23.3,12.7,49.8,87.7,4.5,1.6,3.1,0.2,2.9,21.2,80.7,9.7,16.8,90.2,37.0,399458,24.5,65.4,1977591,58433,13.2,103641.89,48.5,15492.0,15882.0,15757.0,17121.0,18498.0,18794.0,17101.0,17480.0,17022.0,16339.0,16085.0,15951.0,16099.0,16554.0,17515.0,19030.0,17015.2,158.0,179.0,185.0,201.0,173.0,171.0,155.0,165.0,159.0,129.0,155.0,152.0,174.0,151.0,176.0,189.0,167.6,3555.0,3579.0,3738.0,3739.0,3948.0,3824.0,3461.0,3404.0,3371.0,3164.0,3299.0,3392.0,3136.0,3039.0,3323.0,3525.0,3462.8,1930.0,2066.0,1913.0,1945.0,2026.0,2158.0,2075.0,2151.0,2269.0,2230.0,2285.0,2122.0,2198.0,2121.0,2377.0,2138.285714285714,35.9,49.48,87.9,53,14.1,10.3,8.1,7.5,8.633333333333333,92.0,92.5,92.5,92.5,91.9,89.7,85.9,85.3,84.9,84.1,84.2,83.3,87.89090909090909,republican,584278,republican,652264,republican,821817,republican,728177,democrat,629681,republican,691848,republican,883748,republican,1101255,democrat,1288576,democrat,1323101,democrat,1338870
Connecticut,190667.7,196175.1,202264.4,216293.1,219932.4,219956.8,222125.2,236698.6,242380.3,251629.6,260993.1,259385.0,248612.1,247876.8,242323.3,244114.4,238621.4,237700.4,245304.5,245966.1,248077.1,249043.3,251329.8,237581.9454545454,5.8,6.2,6.9,6.0,4.7,4.7,3.8,3.4,3.0,3.8,5.1,6.5,7.6,6.6,5.6,5.5,5.5,5.0,3.4,2.9,2.4,3.1,4.3,5.4,5.0,4.9,4.3,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1,4.7,4.1,5.36578947368421,66490,68368,69919,71740,74855,71220.5,377322,387729,398666,403175,401999,408304,"407,069","408,392","417,303",399974.6,106944,107647,108318,112967,113337,125143,"189,635","188,577","194,607",113482.4,59759,60079,65666,67904,65958,68561,"67,607","68,409","70,359",64654.5,3596677,3574096,5.3,21.6,15.5,51.2,81.2,11.5,0.5,4.5,0.1,2.2,15.0,88.0,13.6,21.5,89.2,36.5,217947,24.8,67.8,1355849,69461,10.2,4842.36,738.1,11492.0,10807.0,11045.0,10113.0,9542.0,10505.0,10547.0,10737.0,10588.0,10083.0,9889.0,10183.0,9439.0,8522.0,7845.0,8169.0,9867.6,105.0,84.0,112.0,100.0,105.0,137.0,113.0,132.0,106.0,133.0,129.0,117.0,91.0,86.0,117.0,79.0,109.4,4183.0,4069.0,4212.0,4188.0,3933.0,4460.0,4303.0,4043.0,4001.0,3553.0,3689.0,3709.0,3551.0,3159.0,2892.0,2711.0,3764.866666666667,639.0,740.0,698.0,755.0,712.0,696.0,690.0,680.0,657.0,595.0,689.0,933.0,647.0,571.0,582.0,688.9285714285714,35.6,56.12,89.2,57,9.4,6.9,6.0,4.9,5.933333333333334,94.1,94.7,94.5,95.1,94.0,93.1,90.6,90.9,91.2,90.9,91.2,91.2,92.4909090909091,republican,719261,republican,677210,republican,890877,republican,750241,democrat,682318,democrat,735740,democrat,816015,democrat,857488,democrat,997772,democrat,905083,democrat,897572
Delaware,45802.8,50115.1,53942.2,56265.5,59013.7,56897.3,57916.4,60545.8,59821.9,61365.4,61229.4,58637.7,60847.4,60577.0,62501.4,61866.7,59496.1,64123.6,66527.0,62889.0,61851.1,63162.6,64319.3,60177.80000000002,7.6,7.8,8.4,7.7,6.3,5.1,4.3,3.1,3.1,3.5,4.7,6.2,5.4,5.1,4.8,4.3,5.1,4.0,3.7,3.4,3.7,3.5,4.0,4.3,4.0,4.1,3.6,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5,4.5,3.8,5.078947368421052,45993,48017,48836,50798,52930,50145.25,94517,97339,100741,104594,107520,109417,"114,481","120,208","114,014",103922.2,22984,24730,25557,26651,25963,26841,"41,773","40,404","41,697",25948.4,11277,11229,11385,14542,14891,14035,"14,212","15,622","15,366",12893.166666666666,935614,897936,6.0,21.8,16.4,51.6,70.8,22.2,0.7,3.8,0.1,2.5,8.9,86.3,8.4,12.6,87.7,28.9,75081,24.8,72.5,335707,59878,11.7,1948.54,460.8,4868.0,4836.0,5525.0,5105.0,5332.0,5983.0,6100.0,6187.0,5713.0,5608.0,5144.0,5048.0,4633.0,4576.0,4720.0,4859.0,5291.266666666666,23.0,26.0,21.0,28.0,37.0,42.0,39.0,57.0,41.0,51.0,48.0,56.0,41.0,54.0,63.0,58.0,44.13333333333333,1156.0,1154.0,1441.0,1343.0,1306.0,1791.0,1763.0,1847.0,1680.0,1839.0,1558.0,1498.0,1233.0,1269.0,1235.0,1359.0,1487.7333333333333,420.0,358.0,370.0,357.0,377.0,417.0,341.0,371.0,395.0,326.0,307.0,249.0,278.0,249.0,243.0,331.2857142857143,28.7,37.04,87.0,48,9.1,7.8,5.9,5.7,6.466666666666666,93.4,94.3,94.6,94.3,94.1,92.2,90.9,91.2,90.6,90.3,89.8,90.0,92.02727272727272,democrat,122461,republican,111252,republican,152190,republican,139639,democrat,126054,democrat,140355,democrat,180068,democrat,200152,democrat,255459,democrat,242584,democrat,235603
Florida,560807.2,588868.1,614442.1,641249.0,658349.1,684994.9,714958.5,757581.2,806805.0,834434.5,835637.2,803607.1,759432.2,766653.9,763484.1,768722.9,784238.4,806029.4,842269.4,870963.2,901903.5,936580.3,963255.9,777475.45,6.1,6.7,8.4,8.5,6.4,6.0,5.8,5.3,5.1,5.6,6.1,7.5,8.2,7.1,6.4,5.5,5.2,4.8,4.3,3.9,3.7,4.7,5.6,5.2,4.6,3.7,3.2,4.0,6.3,10.4,11.1,10.0,8.5,7.2,6.3,5.5,4.8,4.2,3.6,6.036842105263157,43140,45273,46073,48504,50964,47703.5,1952799,2026778,2091829,2140416,2235197,2326010,"2,380,063","2,446,928","2,500,489",2164046.0,418893,440557,457099,484234,498475,549159,"770,405","811,471","859,717",485904.8,161396,166977,182704,181324,199619,204772,"214,145","220,501","250,82",182798.66666666666,19893297,18804623,5.5,20.4,19.1,51.1,77.8,16.8,0.5,2.8,0.1,2.0,24.1,83.7,19.4,27.4,86.1,26.4,1569406,25.9,67.1,7158980,46956,16.3,53624.76,350.6,130713.0,128721.0,124280.0,123754.0,125957.0,129602.0,131878.0,126256.0,113541.0,101969.0,98198.0,94087.0,91993.0,107521.0,93626.0,88700.0,112005.53333333334,874.0,911.0,924.0,946.0,883.0,1129.0,1202.0,1168.0,1017.0,987.0,984.0,1009.0,972.0,1149.0,1041.0,1111.0,1028.8666666666666,32867.0,32581.0,31523.0,29997.0,30141.0,34147.0,38155.0,36268.0,30911.0,26086.0,25622.0,23889.0,23200.0,24914.0,21137.0,20175.0,28583.066666666666,6641.0,6753.0,6727.0,6612.0,6592.0,6475.0,6149.0,5972.0,5501.0,5373.0,5273.0,5260.0,4765.0,6051.0,5430.0,5923.785714285715,25.3,32.7,83.4,46,20.0,16.6,13.3,12.5,14.133333333333335,86.8,87.0,87.1,87.5,86.7,83.4,80.0,79.9,79.1,78.7,79.1,79.8,82.57272727272728,democrat,1636000,republican,2046951,republican,2730350,republican,2618885,republican,2173310,democrat,2546870,republican,2912790,republican,3964522,democrat,4282074,democrat,4237756,republican,4617886
Georgia,329106.6,353292.8,378237.4,391210.2,395041.3,399790.5,410866.0,429301.7,445803.4,451010.5,452706.7,442300.5,425155.8,430702.0,438060.2,443566.1,449796.1,465137.8,484378.4,500909.3,519452.6,538730.8,547422.7,445130.5818181818,6.3,6.4,7.8,7.7,6.1,6.4,6.0,5.7,5.7,5.5,5.5,5.2,6.9,6.0,5.2,4.8,4.7,4.6,4.3,3.9,3.6,4.0,5.0,4.8,4.8,5.3,4.7,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,6.0,5.4,4.7,3.9,5.957894736842104,39802,41804,42896,44894,46957,44137.75,1112702,1131924,1147777,1161118,1191096,1209458,"1,233,324","1,259,940","1,297,265",1168274.6,255300,277393,267388,272885,290666,298116,"442,513","453,269","478,261",281289.6,113358,107933,116731,125628,120235,127423,"135,824","142,415","136,923",118551.33333333333,10097343,9688681,6.6,24.7,12.4,51.2,62.1,31.5,0.5,3.8,0.1,2.0,9.3,83.6,9.7,13.3,84.7,28.0,690208,27.0,65.1,3518097,49179,18.2,57513.49,168.4,41671.0,39271.0,39435.0,40217.0,40725.0,44754.0,46917.0,47353.0,42073.0,39068.0,36762.0,37675.0,37519.0,38097.0,38643.0,40268.0,40585.13333333333,598.0,606.0,657.0,613.0,564.0,605.0,720.0,640.0,566.0,555.0,549.0,583.0,563.0,580.0,615.0,682.0,606.5333333333333,14402.0,13432.0,14043.0,13656.0,14041.0,15511.0,17291.0,17808.0,14631.0,12372.0,12266.0,12502.0,12704.0,12417.0,12247.0,12114.0,13802.333333333334,2180.0,2108.0,2234.0,2387.0,2143.0,2169.0,2198.0,2334.0,2323.0,2107.0,2066.0,2143.0,2022.0,2159.0,2296.0,2192.0714285714284,27.5,39.2,81.6,34,18.8,15.8,13.9,12.9,14.200000000000001,86.6,86.3,86.6,87.1,86.1,84.2,81.2,81.6,80.4,80.3,80.9,81.8,83.31818181818181,democrat,979409,democrat,890955,republican,1068722,republican,1081331,democrat,1008966,republican,1080843,republican,1419720,republican,1914254,republican,2048759,republican,2078688,republican,2089104
